                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.81457,                0.52789,                 1.0821,                0.85217,                0.77834,                0.84376,                0.52557,                 1.4033,                0.80984,                 1.5456,             0.00056128,             0.00056128,             0.00056128
                    137,                0.79527,                0.52755,                 1.0705,                 0.8753,                0.78249,                0.85565,                0.52955,                  1.394,                0.81715,                  1.543,             0.00055303,             0.00055303,             0.00055303
                    138,                0.77685,                0.51977,                 1.0651,                0.87667,                0.78288,                 0.8508,                0.53666,                 1.4189,                0.77957,                 1.5701,             0.00054478,             0.00054478,             0.00054478
                    139,                0.80081,                0.53614,                 1.0718,                0.88843,                0.75737,                 0.8351,                0.51447,                 1.4448,                0.80961,                 1.6078,             0.00053652,             0.00053652,             0.00053652
                    140,                0.77206,                0.51645,                 1.0601,                0.88523,                0.80215,                0.85115,                0.52617,                 1.4261,                0.77083,                 1.5745,             0.00052827,             0.00052827,             0.00052827
                    141,                0.78947,                0.51612,                 1.0771,                0.85876,                0.77268,                 0.8447,                0.52936,                 1.4218,                 0.7783,                 1.5732,             0.00052002,             0.00052002,             0.00052002
                    142,                0.80687,                 0.5395,                 1.0791,                0.91111,                0.76217,                0.85532,                0.52632,                 1.4085,                0.79242,                 1.5676,             0.00051177,             0.00051177,             0.00051177
                    143,                 0.7758,                 0.5041,                 1.0649,                0.89996,                0.75369,                0.85239,                0.52818,                 1.4141,                0.84566,                 1.5639,             0.00050352,             0.00050352,             0.00050352
                    144,                 0.7604,                0.50039,                 1.0602,                0.91896,                0.76017,                0.85256,                0.53032,                 1.4191,                0.85005,                 1.5796,             0.00049527,             0.00049527,             0.00049527
                    145,                0.76116,                0.50099,                 1.0613,                0.89997,                0.76726,                0.85412,                0.53252,                 1.4166,                0.82011,                 1.5507,             0.00048701,             0.00048701,             0.00048701
                    146,                0.76747,                0.50624,                 1.0627,                0.88508,                0.75085,                0.84131,                0.52646,                  1.418,                0.82304,                 1.5788,             0.00047876,             0.00047876,             0.00047876
                    147,                0.76146,                0.50558,                 1.0594,                0.90749,                 0.7684,                0.85499,                 0.5316,                 1.4247,                0.85768,                 1.5732,             0.00047051,             0.00047051,             0.00047051
                    148,                0.76538,                0.51468,                 1.0629,                0.90158,                0.77446,                0.85311,                0.53042,                 1.4247,                0.85278,                 1.5733,             0.00046226,             0.00046226,             0.00046226
